file,score,danger,sanction,governance,child,exit,clinical
recovered/corpus-v21-v25/vol21-25/vol22/iss1/025-review-of-das-echo-halles-kulturelle-wirkungen-des-pietismus.txt,2,0,0,1,1,0,0
recovered/corpus-v21-v25/vol21-25/vol21/iss1/015-review-of-the-gayndah-communes-from-aborigines-and-squatters-through-communes-to-rural-depopulation-in-the-gay.txt,2,0,0,2,0,0,0
recovered/corpus-v21-v25/vol21-25/vol21/iss1/002-contents.txt,2,0,0,1,1,0,0
recovered/corpus-v21-v25/vol21-25/vol23/iss1/002-contents.txt,2,0,0,0,1,1,0
recovered/corpus-v21-v25/vol21-25/vol24/iss1/016-review-of-a-singular-people-images-of-zoar.txt,1,0,0,0,1,0,0
recovered/corpus-v21-v25/vol21-25/vol22/iss1/021-review-of-o-sisters-aint-you-happy-gender-family-and-community-among-the-harvard-and-shirley-shakers-1781-1918.txt,1,0,0,1,0,0,0
recovered/corpus-v21-v25/vol21-25/vol25/iss1/002-from-the-editor.txt,1,0,0,0,1,0,0
recovered/corpus-v21-v25/vol21-25/vol21/iss1/003-from-the-editor.txt,1,0,0,0,0,1,0
recovered/corpus-v21-v25/vol21-25/vol23/iss1/014-review-of-the-amish-in-the-american-imagination.txt,1,0,0,0,1,0,0
recovered/corpus-v21-v25/vol21-25/vol24/iss1/003-from-the-editor.txt,0,0,0,0,0,0,0
recovered/corpus-v21-v25/vol21-25/vol23/iss1/003-from-the-editor.txt,0,0,0,0,0,0,0
