record_id,file,volume,issue,kind,article_title,author,pdf_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
M-0639,recovered/corpus-v26-v28/vol27/iss1/011-review-of-pilgrims-of-love-the-anthropology-of-a-global-sufi-cult.txt,27,1,book_review,Review of Pilgrims of Love: The Anthropology of a Global Sufi Cult,Holly Folk,3,14,0,0,2,6,1,3,0,0,0,0,3,1,2
M-0652,recovered/corpus-v26-v28/vol28/iss1/008-objinka-thanksgiving-on-a-hutterite-colony.txt,28,1,article,Objinka: Thanksgiving on a Hutterite Colony,Dora Mendel,6,13,0,0,0,4,9,0,0,0,0,0,0,1,1
M-0654,recovered/corpus-v26-v28/vol28/iss1/010-review-of-my-life-in-orange-growing-up-with-the-guru.txt,28,1,book_review,Review of My Life in Orange: Growing up with the Guru,Rod Janzen,3,13,0,0,0,0,7,3,1,0,0,0,3,1,2
M-0657,recovered/corpus-v26-v28/vol28/iss1/013-review-of-why-cows-learn-dutch-and-other-secrets-of-amish-farms-and-beyond-the-plain-and-simple-a-patchwork-of.txt,28,1,book_review,Review of Why Cows Learn Dutch and Other Secrets of Amish Farms and Beyond the Plain and Simple: A Patchwork of Amish Lives,Philip E. Webber,3,13,1,0,0,7,1,2,1,3,1,0,4,0,3
M-0670,recovered/corpus-v26-v28/vol28/iss2/011-review-of-zoar-in-the-civil-war.txt,28,2,book_review,Review of Zoar in the Civil War,Peter A. Hoehnle,3,13,0,2,0,2,1,4,0,0,0,0,3,0,1
M-0656,recovered/corpus-v26-v28/vol28/iss1/012-review-of-i-am-hutterite.txt,28,1,book_review,Review of I Am Hutterite,Ruth Baer Lambach,2,11,0,1,0,2,4,2,0,0,0,0,3,0,1
M-0673,recovered/corpus-v26-v28/vol28/iss2/014-review-of-under-vine-and-fig-tree-biblical-theologies-of-land-and-the-palestinian-israeli-conflict.txt,28,2,book_review,Review of Under Vine and Fig Tree: Biblical Theologies of Land and the Palestinian-Israeli Conflict,Sally Schreiner Youngquist,3,11,0,1,2,2,1,1,0,0,0,0,3,0,1
M-0642,recovered/corpus-v26-v28/vol27/iss1/014-review-of-sweet-earth-experimental-utopias-in-america.txt,27,1,book_review,Review of Sweet Earth: Experimental Utopias in America,Timothy Miller,3,10,0,1,1,2,2,1,0,0,0,0,3,0,1
M-0638,recovered/corpus-v26-v28/vol27/iss1/010-review-of-waiting-for-elijah-a-history-of-the-megiddo-mission.txt,27,1,book_review,Review of Waiting for Elijah: A History of the Megiddo Mission,Holly Folk,4,8,0,0,1,1,1,4,0,0,0,0,4,0,1
M-0671,recovered/corpus-v26-v28/vol28/iss2/012-review-of-historical-dictionary-of-utopianism.txt,28,2,book_review,Review of Historical Dictionary of Utopianism,Timothy Miller,4,8,0,0,0,8,0,0,0,0,0,0,3,0,1
